Slide Name,Slide Text,Type,Direction,Features,Expected Response,Expected Effect,Syllables,Verb,Object
B3T26,Dora cocinará el balón.,Filler,None,Mfuture_F,Away/Red,Neither,9,,
B3T27,Jorge va a jalar la puerta.,Critical,Toward,Pfuture,Close/Green,Facilitation,9,Jalar,Puerta
B3T28,Pablo está golpeando la almohada.,Critical,Away,PresProg,Close/Green,Interference,13,Golpear,Almohada
B3T29,Inés comía la naranja.,Critical,Toward,Imperfect,Close/Green,Facilitation,9,Comer,Naranja
B3T30,Parece que José está comprando la cerveza.,Filler,None,SubIndic_F,Close/Green,Neither,15,,
B3T31,Carmen empujó la puerta.,Critical,Away,Preterite,Close/Green,Interference,8,Empujar,Puerta
B3T32,Parece que José esté siguiendo la naranja.,Filler,None,SubSubj_F,Away/Red,Neither,15,,
B3T33,Pilar va a recoger la almohada.,Critical,Toward,Pfuture,Close/Green,Facilitation,12,Recoger,Almohada
B3T34,Rita arroja la pelota.,Critical,Away,Present,Close/Green,Interference,9,Arrojar,Pelota
B3T35,Parece que Elsa esté jalando la puerta.,Critical,Toward,SubSubj,Close/Green,Facilitation,14,Jalar,Puerta
B3T36,Carla enseñaba el balón.,Filler,None,Imperfect_F,Away/Red,Neither,10,,
B3T37,Marta va a tirar la naranja.,Critical,Away,Pfuture,Close/Green,Interference,10,Tirar,Naranja
B3T38,José pateaba la pelota.,Filler,None,Imperfect_F,Close/Green,Neither,10,,
B3T39,Parece que Victor está atrapando el balón.,Critical,Toward,SubIndic,Close/Green,Facilitation,15,Atrapar,Balón
B3T40,Rosa compra la naranja.,Filler,None,Present_F,Close/Green,Neither,8,,
I10,Take another break! Only 500 more!,,,,,,,,
B4T1,Pablo tomó la pelota.,Critical,Toward,Preterite,Close/Green,Facilitation,8,Tomar,Pelota
B4T2,Luis cosía la almohada.,Filler,None,Imperfect_F,Close/Green,Neither,10,,
B4T3,Hugo golpeará la almohada.,Critical,Away,Mfuture,Close/Green,Interference,11,Golpear,Almohada
B4T4,Jorge está comiendo la naranja.,Critical,Toward,PresProg,Close/Green,Facilitation,11,Comer,Naranja
B4T5,César va a batir la pelota.,Filler,None,Pfuture_F,Away/Red,Neither,10,,
B4T6,Parece que Ramón esté rechazando la cerveza.,Critical,Away,SubSubj,Close/Green,Interference,16,Rechazar,Cerveza
B4T7,Lupe atrapa el balón.,Critical,Toward,Present,Close/Green,Facilitation,8,Atrapar,Balón
B4T8,Parece que Luis está entendiendo la almohada.,Filler,None,SubIndic_F,Away/Red,Neither,17,,
B4T9,Pablo va a pedir la cerveza.,Filler,None,Pfuture_F,Close/Green,Neither,10,,
B4T10,Parece que Marco está tirando la naranja.,Critical,Away,SubIndic,Close/Green,Interference,15,Tirar,Naranja
B4T11,Sara jalará la puerta.,Critical,Toward,Mfuture,Close/Green,Facilitation,8,Jalar,Puerta
B4T12,Dora quiere la cerveza.,Filler,None,Present_F,Close/Green,Neither,8,,
B4T13,Pedro arrojaba la pelota.,Critical,Away,Imperfect,Close/Green,Interference,10,Arrojar,Pelota
B4T14,Berto está siguiendo la cerveza.,Filler,None,PresProg_F,Away/Red,Neither,11,,
B4T15,Parece que José esté recogiendo la almohada.,Critical,Toward,SubSubj,Close/Green,Facilitation,17,Recoger,Almohada
B4T16,Pedro molestará la naranja.,Filler,None,Mfuture_F,Away/Red,Neither,10,,
B4T17,Simón va a rechazar la cerveza.,Critical,Away,Pfuture,Close/Green,Interference,11,Rechazar,Cerveza
B4T18,Rosa recogió la almohada.,Critical,Toward,Preterite,Close/Green,Facilitation,10,Recoger,Almohada
B4T19,Elsa pateó el balón.,Filler,None,Preterite_F,Close/Green,Neither,8,,
B4T20,Simón bebía la cerveza.,Critical,Toward,Imperfect,Close/Green,Facilitation,9,Beber,Cerveza
B4T21,Carmen está separando la naranja.,Filler,None,PresProg_F,Close/Green,Neither,12,,
B4T22,Norma rechazará la cerveza.,Critical,Away,Mfuture,Close/Green,Interference,10,Rechazar,Cerveza
B4T23,Marta saludaba la puerta.,Filler,None,Imperfect_F,Away/Red,Neither,9,,
B4T24,Parece que José está golpeando la almohada.,Critical,Away,SubIndic,Close/Green,Interference,17,Golpear,Almohada
B4T25,Moises visualizará la pelota.,Filler,None,Mfuture_F,Close/Green,Neither,10,,
B4T26,Parece que Sara esté arrojando la pelota.,Critical,Away,SubSubj,Close/Green,Interference,16,Arrojar,Pelota
B4T27,Pilar juega la almohada.,Filler,None,Present_F,Away/Red,Neither,9,,
B4T28,Laura atrapará el balón.,Critical,Toward,Mfuture,Close/Green,Facilitation,9,Atrapar,Balón
B4T29,Carlos está arrojando la pelota.,Critical,Away,PresProg,Close/Green,Interference,12,Arrojar,Pelota
B4T30,Lupe bebe la cerveza.,Critical,Toward,Present,Close/Green,Facilitation,8,Beber,Cerveza
B4T31,Parece que César está pelando la naranja.,Filler,None,SubIndic_F,Close/Green,Neither,15,,
B4T32,Ruben va a tomar la pelota.,Critical,Toward,Pfuture,Close/Green,Facilitation,10,Tomar,Pelota
B4T33,Parece que Victor esté nadando la cerveza.,Filler,None,SubSubj_F,Away/Red,Neither,15,,
B4T34,César tiró la naranja.,Critical,Away,Preterite,Close/Green,Interference,8,Tirar,Naranja
B4T35,Parece que Dora esté inflando el balón.,Filler,None,SubSubj_F,Close/Green,Neither,14,,
B4T36,Coco golpea la almohada.,Critical,Away,Present,Close/Green,Interference,10,Golpear,Almohada
B4T37,Berto recortó la cerveza.,Filler,None,Preterite_F,Away/Red,Neither,9,,
B4T38,Parece que Sara está tomando la pelota.,Critical,Toward,SubIndic,Close/Green,Facilitation,15,Tomar,Pelota
B4T39,Rosa lanzaba el balón.,Critical,Away,Imperfect,Close/Green,Interference,8,Lanzar,Balón
B4T40,Ángel está jalando la puerta.,Critical,Toward,PresProg,Close/Green,Facilitation,10,Jalar,Puerta
I11,You finished! Congrats!,,,,,,,,
